,Columns,Missing_data_before_cleaning (%),Missing_data_after_cleaning (%)
0,District code,0.0,0.0
1,State/UT,0.0,0.0
2,District,0.0,0.0
3,Population,4.69,0.0
4,Male,4.69,0.0
5,Female,5.16,0.0
6,Literate,5.62,0.0
7,Literate_Male,4.84,0.0
8,Literate_Female,4.22,0.0
9,SC,5.47,5.47
10,Male_SC,3.59,3.59
11,Female_SC,5.0,5.0
12,ST,4.53,4.53
13,Male_ST,4.84,4.84
14,Female_ST,4.84,4.84
15,Workers,3.59,3.59
16,Male_Workers,3.44,3.44
17,Female_Workers,2.97,2.97
18,Main_Workers,4.38,4.38
19,Marginal_Workers,6.09,6.09
20,Non_Workers,5.62,5.62
21,Cultivator_Workers,4.53,4.53
22,Agricultural_Workers,4.22,4.22
23,Household_Workers,4.38,4.38
24,Other_Workers,4.38,4.38
25,Hindus,4.22,4.22
26,Muslims,5.78,5.78
27,Christians,4.69,4.69
28,Sikhs,4.53,4.53
29,Buddhists,4.06,4.06
30,Jains,6.56,6.56
31,Others_Religions,4.69,4.69
32,Religion_Not_Stated,5.47,5.47
33,LPG_or_PNG_Households,5.78,5.78
34,Housholds_with_Electric_Lighting,6.41,6.41
35,Households_with_Internet,3.59,3.59
36,Households_with_Computer,4.22,4.22
37,Households_Rural,6.56,0.0
38,Urban_Households,5.16,0.0
39,Households,5.0,0.0
40,Below_Primary_Education,5.31,5.31
41,Primary_Education,6.41,6.41
42,Middle_Education,5.94,5.94
43,Secondary_Education,5.78,5.78
44,Higher_Education,3.28,3.28
45,Graduate_Education,4.69,4.69
46,Other_Education,4.06,4.06
47,Literate_Education,5.78,5.78
48,Illiterate_Education,4.53,4.53
49,Total_Education,6.41,6.41
50,Young_and_Adult,4.84,4.84
51,Middle_Aged,4.69,4.69
52,Senior_Citizen,4.84,4.84
53,Age_Not_Stated,5.47,5.47
54,Households_with_Bicycle,4.06,4.06
55,Households_with_Car_Jeep_Van,4.22,4.22
56,Households_with_Radio_Transistor,4.53,4.53
57,Households_with_Scooter_Motorcycle_Moped,6.41,6.41
58,Households_with_Telephone_Mobile_Phone_Landline_only,4.69,4.69
59,Households_with_Telephone_Mobile_Phone_Mobile_only,4.38,4.38
60,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,5.16,5.16
61,Households_with_Television,5.16,5.16
62,Households_with_Telephone_Mobile_Phone,5.0,5.0
63,Households_with_Telephone_Mobile_Phone_Both,5.31,5.31
64,Condition_of_occupied_census_houses_Dilapidated_Households,5.16,5.16
65,Households_with_separate_kitchen_Cooking_inside_house,4.53,4.53
66,Having_bathing_facility_Total_Households,4.06,4.06
67,Having_latrine_facility_within_the_premises_Total_Households,4.22,4.22
68,Ownership_Owned_Households,5.31,5.31
69,Ownership_Rented_Households,5.0,5.0
70,Type_of_bathing_facility_Enclosure_without_roof_Households,5.94,5.94
71,Type_of_fuel_used_for_cooking_Any_other_Households,5.94,5.94
72,Type_of_latrine_facility_Pit_latrine_Households,5.47,5.47
73,Type_of_latrine_facility_Other_latrine_Households,4.38,4.38
74,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,3.75,3.75
75,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,4.22,4.22
76,Not_having_bathing_facility_within_the_premises_Total_Households,5.0,5.0
77,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,6.72,6.72
78,Main_source_of_drinking_water_Un_covered_well_Households,6.41,6.41
79,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,4.84,4.84
80,Main_source_of_drinking_water_Spring_Households,5.0,5.0
81,Main_source_of_drinking_water_River_Canal_Households,6.72,6.72
82,Main_source_of_drinking_water_Other_sources_Households,4.69,4.69
83,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,3.44,3.44
84,Location_of_drinking_water_source_Near_the_premises_Households,4.69,4.69
85,Location_of_drinking_water_source_Within_the_premises_Households,4.38,4.38
86,Main_source_of_drinking_water_Tank_Pond_Lake_Households,5.62,5.62
87,Main_source_of_drinking_water_Tapwater_Households,6.56,6.56
